Name,Old_Price,Special_Price,Save,Material,Cleaning_Process,Pattern,Pile_height,Weight,Origin,Type,Product_Reviews,_id
Fading World Jade 8258 Designer Luxury Rug By De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Easy to clean,"Floral , Geometric",3.0,1500,Belgium,"Traditional , Wool"," Exceptionally classy rug with perfect colour combinations. The pile is soft and sturdy. Would recommend.   |  Classy-looking rug! From order to delivery, The Rug Shop UK handled everything perfectly. 
  |  Great-Quality rug with amazing texture. Got an excellent offer on it as well. Would recommend.   |  Amazing distressed look. Customer service was great. Delivery was earlier than expected.  |  This amazing rug looks perfect in my bedroom. Would definitely buy again. 
 ",67062f7ff386a3a7f2624eaf
Matrix Tangier MAX43 Tangier Terracotta Traditional Wool Rug by Asiatic,539.0,327.52,Save 39,Wool,Easy to clean,Floral,11.0,3600,,"Handmade , Luxurious , Traditional , Wool",,67062f7ff386a3a7f2624eb0
Shensi Blue Traditional Wool Rug by Origins,55.0,44.3,Save 19,Wool,Easy to clean,Floral,25.0,2300,India,"Handmade , Traditional , Wool", Rug is available at a reasonable price and at a very cheaper price than others. Awesome rug.  |  It took a while to get it sorted but should be delivered soon ready for Christmas ! ,67062f7ff386a3a7f2624eb1
Gio 8022 W Geometric Rug by Oriental Weavers,54.99,46.2,Save 16,Polypropylene,Easy to clean,"Geometric , Optical/ (3D)",18.0,,Egypt,Modern,,67062f7ff386a3a7f2624eb2
Elliptic 140307 Emerald Handtufted Wool Rug by Harlequin,579.0,521.1,Save 10,Wool,Easy to clean,Abstract,17.0,2500,,"Handmade , Luxurious , Modern , Wool",,67062f7ff386a3a7f2624eb3
Avanti Blue Grey Modern Geometric Flat Pile Stain Resistant Easy to Clean Rug for Living Room and Bedroom,50.0,38.99,Save 22,"Polyester , Polypropylene",Easy to clean,Geometric,30.0,1350,Turkey,Modern," Got an amazing rug, just like the one shown in the picture! The product delivered was top-quality; however the ordering experience could have been better!  |  I saw this rug in the shops but found it much much cheaper here. Ordering was easy and it was delivered very quickly. I'm so pleased with it. I will recommend to friends and family   |  An elegant geometric rug in blue and grey hues from The Rug Shop UK has made a stylish statement in my home. Its modern design and quality craftsmanship have truly elevated the aesthetics of my living space.  |  Gorgeous, contemporary, and affordable! Overall the look is great! The quality is just great! Would highly recommend!  |  The pattern and tone of this rug has totally transformed my living room! From order to delivery, everything was handled by The Rug Shop UK perfectly!  |  A perfect rug for my bedroom! The delivery timing could have been better. Customer Service was good!  |  Brilliant pattern and colour! Got an excellent purchase with this one! Would definitely buy again! ",67062f80f386a3a7f2624eb4
Royal Nomadic 5413 Yellow Rug by Think Rugs,123.99,73.53,Save 41,Polypropylene,Easy to clean,Geometric,40.0,1535,,"Modern , Shaggy , Moroccan"," Exactly what I wanted  it's lovely was ordered and delivered within 6 days would definitely recommend  |  Arrived really quickly. Delighted. What a lovely quality rug at a great price. Excellent seller.
 ",67062f80f386a3a7f2624eb5
Mehari 023 0067 5949 Designer Abstract Rug By Mastercraft,76.8,58.3,Save 24,Polypropylene,Easy to clean,Abstract,25.0,3197,Belgium,Modern," Luxurious rug! Great quality as well! The delivery timing could have been better. Customer Service was good!
  |  Great Quality! Affordable! Exceptionally soft look! The customer service was good. Delivery was on point. Would recommend!  |  Hight-quality pile and stunning look! The texture and material of this rug has totally transformed my living space!  |  Soft rug with amazing abstract design! Looks perfect in my bedroom. From order to delivery, everything was handled amazingly!  |  Exceptionally soft appeal! Amazing luxurious look! The delivery and customer service were hassle-free! – One Happy Customer! ",67062f80f386a3a7f2624eb6
Shensi Wine Traditional Wool Rug by Origins,55.0,44.3,Save 19,Wool,Easy to clean,Floral,25.0,2300,India,"Handmade , Traditional , Wool"," Extremely traditional and classy! Customer Service was good but the delivery was a bit delayed!  |  Very fast forward company. My rug delivered within 4 days and packaging was great. Will buy another undoubtedly.  |  The rug looks absolutely wonderful in my living room! The entire ordering experience was amazing. Would recommend!  |  Great quality, classy rug with value for money! From Order to Delivery, everything was handled by The Rug Shop UK perfectly.  |  Amazing classy look and pattern! It’s affordable and easy to maintain! The quality is just perfect and worth the money spent!  |  A unique look with comfortable appeal. Got an amazing deal on this one! Would definitely buy again! ",67062f80f386a3a7f2624eb7
Varanda VA03 Black Stripe Rug by Asiatic,189.0,110.4,Save 42,Polypropylene,Easy to clean,"Geometric , Striped",2.0,1100,Belgium,"Modern , Outdoor , Striped",,67062f80f386a3a7f2624eb8
Aurora AU16 Strata Rug by Asiatic,89.0,62.49,Save 30,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,2250,Turkey,Modern," Superb quality with perfect look, got my rug on time from searching to placing order, the process was simple and time-saving. It is easy to clean, light- weight and super comfy. Will highly recommend using The Rug Shop UK services.  |  This bronze grey colour exactly matches the shade and tone as it is shown in the picture, super happy with my Bronze grey champagne Rug, placed it near my fireplace. Its furs are soft and very cozy.  |  A gorgeous rug with alluring tones! Looks great in my living room! Would highly recommend it!  |  Its grey colour and abstract design is absolutely stunning and the rug is super comfy. Being not so heavy it is easy moving it and cleaning the area beneath.  |  The rug with a unique color combination is a true gem in my home. Its color palette is versatile, making it suitable for various room styles. The rug's quality is evident, and it has held up well even in hightraffic areas. Cleaning is hasslefree, and it still looks as good as new. This rug has added a touch of luxury and warmth to my space, and I highly recommend it to anyone looking for a quality rug with a distinct color palette.  |  Very beautiful rug, good quality. 4 stars, because takes a bit longer for delivery. The rest are very nice.  |  The Strata Bronze Grey Champagne rug from Rug Shop UK is a stylish choice for my home. The combination of colors and patterns adds depth to my space. It's a highquality rug that enhances the overall decor.  |  Great quality! Soft! And Affordable! Would highly recommend it to anyone! A must have rug! ",67062f80f386a3a7f2624eb9
Meditation Coral 9231 Tropical Green Flatweave Rug by Louis De Poortere,188.0,169.2,Save 10,Polyester,Professional Cleaning,"Abstract , Plain",5.0,1650,Belgium,"Luxurious , Modern",,67062f80f386a3a7f2624eba
Habitat Matisse 411705 Modern Rug by Brink & Campman,235.0,211.5,Save 10,Polypropylene,Professional Cleaning,Geometric,6.0,1400,,"Funky , Handmade , Luxurious , Modern , Outdoor",,67062f80f386a3a7f2624ebb
Royal Nomadic 5413 Ivory Black Shaggy Rug by Think Rugs,123.99,73.53,Save 41,Polypropylene,Easy to clean,Geometric,40.0,1535,,"Modern , Shaggy , Moroccan"," Looking absolutely wonderful in my living room! Whole ordering experience was great! – Happy with the purchase!  |  Sumptuously plush and high-quality rug! The product quality is just amazing! Got an amazing deal on this one!  |  The ivory black shaggy rug has a luxurious feel underfoot. It's both stylish and comfortable, and it's become a cozy addition to my room.  |  The rug is a statement piece in my living room. The contrast between the ivory and black is striking, and the shaggy texture is super comfortable. It's a bold choice that has become the focal point of my room, and I love it.  |  Amazingly lavish and exquisite! From order to delivery, everything was handled perfectly by The Rug Shop UK!  |  A Total Contemporary look! The delivery and customer service were hassle-free! Brilliant purchase!  |  Shaggy and chic! Look and feel of the rug is just brilliant! Would definitely buy again! ",67062f80f386a3a7f2624ebc
Nourison Ankara Global ANR01 Multi Rug,40.0,30.36,Save 24,"Polyester , Polypropylene",Easy to clean,Floral,8.0,2714,Turkey,"Traditional , Persian"," This rug is a real showstopper! The Vintage Kashan Rug has added a touch of sophistication to my home, and I've received so many compliments on it. It's not only beautiful but also very durable. Love it!  |  A rug like this has turned my home into a global masterpiece. Its vibrant and diverse patterns reflect a world of culture and beauty, making it a true centerpiece in my living room.  |  I'm in love with this vintage rug! The Persian designs add such a sophisticated touch to my living room, and the abrash color effects create a beautiful, artistic look. Plus, the PolypropylenePolyester blend makes it super easy to clean. Highly recommended!  |  Absolutely stunning! The exotic pattern adds a touch of elegance to my home. I couldn't be happier with my purchase!  |  I was looking for a rug that could withstand my kids' playful activities, and this one delivered! The PolypropylenePolyester blend makes it so durable and easy to clean, and the vintage pattern is a timeless classic.  |  Impressed with the swift delivery! I ordered this beautiful rug for a special event, and it arrived right on time, perfectly enhancing the ambiance. The service from Rug Shop UK was commendable, and the rug's quality exceeded my expectations. Highly recommended!  |  A total vintage look! This rug looks gorgeous under my coffee table. Would highly recommend!  |  Exceptionally classy look! Apart from a bit delay in delivery, everything was perfect!  ",67062f80f386a3a7f2624ebd
Nourison Rustic Textures RUS10 Ivory Blue Rug,99.0,82.08,Save 17,"Polyester , Polypropylene",Easy to clean,Abstract,10.0,,Turkey,"Luxurious , Modern"," Contemporary and chic! Got an amazing deal on this one! Would 	Contemporary and chic! Got an amazing deal on this one! Would highly recommend!  |  Amazing design and tone with great quality! The material is great. Really happy with the purchase!  |  A total contemporary-looking rug! The look of this rug has completely transformed my living room! Would highly recommend!  |  Affordable, high-quality and easy to maintain! Customer Service was okay! Although the delivery was a bit delayed, that was a bit annoying!  |  Alluring design and colour palette! From order to delivery everything was handled perfectly by The Rug Shop UK! ",67062f80f386a3a7f2624ebe
Mad Men Cracks 8629 Abyss Blue Rug by Louis De Poortere,175.0,76.2,Save 56,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern", Would have been more happy if it was on discount. ,67062f80f386a3a7f2624ebf
Extravagance Mink Plain Shaggy Modern Stain Resistant Anti Shed Rug for Bedroom Living & Dining Room,30.0,20.4,Save 32,Polyester,Easy to clean,Plain,75.0,2000,China,"Luxurious , Modern , Plain , Shaggy"," Perfect.  Lovely rug. Very happy.  Thank you for the quick delivery.  |  Amazing service and beautiful quality rug.
I would definitely use them again and would highly recommend.  |  Ordered a rug which took about 3 weeks to arrive. They gave a discount for the delay, and I kept chasing them to deliver, but the guy called Darren was very helpful and understanding. He made sure the delivery was sorted. I think they need to speak with their suppliers who seem to create a lot of issues for them (at least what it seems).  |  Sumptuously plush rug! High-quality material! Got an amazing deal on this one! Would highly recommend!  |  Amazingly shaggy rug! From placing order to delivery, everything went smooth and hassle free!  |  Great-quality, Affordable and Luxurious! Apart from delayed delivery, happy with the whole ordering experience!  |  Very natural warmth and looks beautiful in my living room. Would buy more for my new room.  |  Shaggy look! Looking absolutely wonderful in my living room! From order to deliver, everything was handled by The Rug Shop UK perfectly! ",67062f80f386a3a7f2624ec0
Dallas Charcoal Abstract shaggy Rug By Origins,75.0,61.8,Save 18,Polyester,Easy to clean,Abstract,30.0,,,"Handmade , Modern , Shaggy", Top-class service and the product too. ,67062f80f386a3a7f2624ec1
Orion OR04 Abstract  Blue Rug by Asiatic,79.0,71.1,Save 10,"Polyester , Polypropylene",Easy to clean,Abstract,11.0,2150,Turkey,Modern," Prices are brilliant, service is excellent, we ended up returning the rug as it wasn't quite the right color for our room, but it was a quality rug nonetheless. The returns process was one of the most efficient I have ever used.  |  Cost-effective, vibrant appeal, and high quality! Whole ordering experience was great! – Happy with the purchase!  |  Great look, high-quality and comfy! Delivery was okay! Customer service was quite helpful!  |  Gorgeous, modern and affordable! From order to delivery, everything went smooth and hassle free! -One Happy Customer!  |  Soft, Great texture and Affordable! The customer service was great and the delivery was on-time.  |  Amazingly abstract and beautiful appeal! The rug totally complements the tone of my room! A must have!  |  Absolutely amazing rug. Delivery was earlier than expected. Customer service was great!  |  Amazing abstract look with soft yet flat pile. Looks perfect in my living room. Would highly recommend! 
 ",67062f80f386a3a7f2624ec2
